country,count,points
US,54504,88.4
France,22093,88.4
Italy,19540,88.4
Spain,6645,88.4
Portugal,5691,88.4
Chile,4472,88.4
Argentina,3800,88.4
Austria,3345,88.4
Australia,2329,88.4
Germany,2165,88.4
New Zealand,1419,88.4
South Africa,1401,88.4
Israel,505,88.4
Greece,466,88.4
Canada,257,88.4
Hungary,146,88.4
Bulgaria,141,88.4
Romania,120,88.4
Uruguay,109,88.4
Turkey,90,88.4
Slovenia,87,88.4
Georgia,86,88.4
England,74,88.4
Croatia,73,88.4
Mexico,70,88.4
Moldova,59,88.4
Brazil,52,88.4
Lebanon,35,88.4
Morocco,28,88.4
Peru,16,88.4
Ukraine,14,88.4
Serbia,12,88.4
Czech Republic,12,88.4
Macedonia,12,88.4
Cyprus,11,88.4
India,9,88.4
Switzerland,7,88.4
Luxembourg,6,88.4
Bosnia and Herzegovina,2,88.4
Armenia,2,88.4
Slovakia,1,88.4
China,1,88.4
Egypt,1,88.4
